iter,time,x,y,z,roll,pitch,yaw
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02
2.000000000000000000e+00,2.000000000000000042e-03,4.749999952708305884e+00,9.999747361417254954e-02,-6.210684116586423858e-06,2.245396665146587312e-06,3.822692451249665169e-06,5.000864732430893023e-02
3.000000000000000000e+00,3.000000000000000062e-03,4.749999853886748724e+00,9.999250505266291111e-02,-1.839534961836684581e-05,7.464290251571470414e-06,1.078137930132783140e-05,5.002607190800715392e-02
4.000000000000000000e+00,4.000000000000000083e-03,4.749999682677908730e+00,9.998544099677471320e-02,-3.587155901745723224e-05,1.856504620975640840e-05,1.722661398440017422e-05,5.004991266053818860e-02
5.000000000000000000e+00,5.000000000000000104e-03,4.749999420003967465e+00,9.997645732000015606e-02,-5.822928181468289182e-05,3.689837597405445924e-05,2.167898075566832006e-05,5.007858942927184698e-02
6.000000000000000000e+00,6.000000000000000125e-03,4.749999050392073485e+00,9.996565972771652431e-02,-8.529034667428253406e-05,6.209104625140224321e-05,2.288585076248850214e-05,5.011106773095568012e-02
7.000000000000000000e+00,7.000000000000000146e-03,4.749998564907675025e+00,9.995311686070100510e-02,-1.169375337603690830e-04,9.698090365623662779e-05,2.030563179933331242e-05,5.014664706097014812e-02
8.000000000000000000e+00,8.000000000000000167e-03,4.749998012842285178e+00,9.993948777478231515e-02,-1.530430498859185889e-04,1.407050108186286286e-04,1.449855113899722880e-05,5.018139545857466799e-02
9.000000000000000000e+00,9.000000000000001055e-03,4.749997402422930115e+00,9.992467711484899484e-02,-1.935060863673866585e-04,1.925767717563670045e-04,5.956264653494969252e-06,5.021608996049911622e-02
1.000000000000000000e+01,1.000000000000000194e-02,4.749996736864352087e+00,9.990856121624486219e-02,-2.381046445222237276e-04,2.529495779049345527e-04,-5.100615694919596876e-06,5.025152815192530931e-02
1.100000000000000000e+01,1.100000000000000283e-02,4.749996017229985767e+00,9.989109068524741619e-02,-2.867900657518449785e-04,3.224373864823479319e-04,-1.855460605826309006e-05,5.028793451680619447e-02
